,TeamBatting,TeamBowling,Venue,Prediction,Actual,Error
312,Royal Challengers Bangalore,Kolkata Knight Riders,Eden Gardens,50.29957565580465,52,3.2700468157602844
313,Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,45.89897421620108,68,32.50150850558664
314,Mumbai Indians,Rising Pune Supergiant,Rajiv Gandhi Interna,44.49108440342396,32,39.03463876069988
315,Rising Pune Supergiant,Mumbai Indians,Rajiv Gandhi Interna,37.946503144483316,38,0.1407811987281162
316,Sunrisers Hyderabad,Kolkata Knight Riders,M Chinnaswamy Stadiu,44.75838358642893,30,49.19461195476309
317,Kolkata Knight Riders,Sunrisers Hyderabad,M Chinnaswamy Stadiu,50.18608744071488,48,4.5543488348226635
318,Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,40.80256113831915,37,10.277192265727429
319,Royal Challengers Bangalore,Delhi Daredevils,Feroz Shah Kotla,45.74328827771732,42,8.912591137422188
320,Kolkata Knight Riders,Mumbai Indians,Eden Gardens,41.624517866571,51,18.383298300841183
321,Mumbai Indians,Kolkata Knight Riders,Eden Gardens,38.27239103399458,53,27.787941445293246
322,Delhi Daredevils,Rising Pune Supergiant,Feroz Shah Kotla,46.84702859312141,54,13.246243346071468
323,Rising Pune Supergiant,Delhi Daredevils,Feroz Shah Kotla,44.90929992829341,53,15.265471833408665
324,Gujarat Lions,Delhi Daredevils,Green Park,48.060015139856134,50,3.8799697202877326
325,Delhi Daredevils,Gujarat Lions,Green Park,48.0584436997352,64,24.90868171916375
326,Sunrisers Hyderabad,Mumbai Indians,Rajiv Gandhi Interna,46.53784221257689,36,29.271783923824696
327,Mumbai Indians,Sunrisers Hyderabad,Rajiv Gandhi Interna,46.044313146724576,43,7.07979801563855
328,Kings XI Punjab,Gujarat Lions,Punjab Cricket Assoc,43.08132966265759,44,2.0878871303236646
329,Gujarat Lions,Kings XI Punjab,Punjab Cricket Assoc,48.77868783662316,58,15.898814074787648
330,Sunrisers Hyderabad,Rising Pune Supergiant,Rajiv Gandhi Interna,41.29469334536351,35,17.984838129610036
331,Rising Pune Supergiant,Sunrisers Hyderabad,Rajiv Gandhi Interna,51.1045989195149,47,8.733189190457232
332,Delhi Daredevils,Gujarat Lions,Feroz Shah Kotla,43.55814596984583,58,24.899748327852013
333,Gujarat Lions,Delhi Daredevils,Feroz Shah Kotla,43.358978203936495,63,31.176225073116676
334,Delhi Daredevils,Sunrisers Hyderabad,Feroz Shah Kotla,40.17718175056403,66,39.1254821961151
335,Sunrisers Hyderabad,Delhi Daredevils,Feroz Shah Kotla,43.39827013771202,62,30.002790100464487
336,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,45.97015486051997,52,11.595856037461598
337,Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium,43.09184703838592,55,21.65118720293469
338,Kings XI Punjab,Delhi Daredevils,Punjab Cricket Assoc,55.30131118655284,25,121.20524474621135
339,Delhi Daredevils,Kings XI Punjab,Punjab Cricket Assoc,41.014080228269606,50,17.97183954346079
340,Rising Pune Supergiant,Royal Challengers Bangalore,Maharashtra Cricket ,41.75817557807784,43,2.8879637719120015
341,Royal Challengers Bangalore,Rising Pune Supergiant,Maharashtra Cricket ,44.5316241093446,39,14.183651562422048
342,Kings XI Punjab,Sunrisers Hyderabad,Punjab Cricket Assoc,48.8344059376598,60,18.609323437233662
343,Sunrisers Hyderabad,Kings XI Punjab,Punjab Cricket Assoc,42.824890310367934,59,27.41544015191876
344,Rising Pune Supergiant,Kolkata Knight Riders,Maharashtra Cricket ,47.88265713009948,57,15.995338368246523
345,Kolkata Knight Riders,Rising Pune Supergiant,Maharashtra Cricket ,46.01182780233157,45,2.2485062274034817
346,Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,43.63338398857621,65,32.87171694065198
347,Royal Challengers Bangalore,Kolkata Knight Riders,Eden Gardens,51.83217309914916,39,32.903007946536306
348,Rising Pune Supergiant,Sunrisers Hyderabad,Maharashtra Cricket ,46.50073354897791,45,3.3349634421731382
349,Sunrisers Hyderabad,Rising Pune Supergiant,Maharashtra Cricket ,43.209458604472,55,21.437347991869096
350,Kolkata Knight Riders,Gujarat Lions,Eden Gardens,45.86797663512811,65,29.43388209980291
351,Gujarat Lions,Kolkata Knight Riders,Eden Gardens,47.06015288823539,72,34.63867654411751
352,Sunrisers Hyderabad,Delhi Daredevils,Rajiv Gandhi Interna,56.26609401957408,39,44.27203594762585
