,TeamBatting,TeamBowling,Venue,Prediction,Actual,Error
478,Sunrisers Hyderabad,Delhi Daredevils,Dr. Y.S. Rajasekhara,44.12373875084112,40,10.3093468771028
479,Delhi Daredevils,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara,47.33962784780992,50,5.320744304380156
480,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,45.91972834193577,31,48.1281559417283
481,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,42.82019127844292,90,52.42200969061898
482,Kings XI Punjab,Delhi Daredevils,Maharashtra Cricket ,43.33795337069598,41,5.702325294380433
483,Delhi Daredevils,Kings XI Punjab,Maharashtra Cricket ,42.70712961791516,47,9.133766770393283
484,Royal Challengers Bangalore,Sunrisers Hyderabad,M Chinnaswamy Stadiu,43.96978215053337,47,6.447272020141767
485,Sunrisers Hyderabad,Royal Challengers Bangalore,M Chinnaswamy Stadiu,41.8283054651267,65,35.648760822882004
486,Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla,44.39154915241569,51,12.957746759969233
487,Rajasthan Royals,Delhi Daredevils,Feroz Shah Kotla,44.56376454027296,42,6.104201286364199
488,Chennai Super Kings,Sunrisers Hyderabad,MA Chidambaram Stadi,35.72123559281926,49,27.099519198328036
489,Sunrisers Hyderabad,Chennai Super Kings,MA Chidambaram Stadi,49.49848845780211,46,7.605409690874154
490,Chennai Super Kings,Delhi Daredevils,MA Chidambaram Stadi,44.07423763343865,59,25.29790231620568
491,Delhi Daredevils,Chennai Super Kings,MA Chidambaram Stadi,47.110576034337846,40,17.776440085844616
492,Kolkata Knight Riders,Kings XI Punjab,M Chinnaswamy Stadiu,38.998536326373646,32,21.870426019917645
493,Kings XI Punjab,Kolkata Knight Riders,M Chinnaswamy Stadiu,44.076542832973686,59,25.293995198349684
494,Chennai Super Kings,Mumbai Indians,Brabourne Stadium,37.23158113419544,53,29.751733709065213
495,Mumbai Indians,Chennai Super Kings,Brabourne Stadium,42.48965725965682,60,29.183904567238628
496,Mumbai Indians,Rajasthan Royals,Wankhede Stadium,43.673392094140745,35,24.781120268973556
497,Rajasthan Royals,Mumbai Indians,Wankhede Stadium,37.92090276262234,71,46.59027779912346
498,Royal Challengers Bangalore,Chennai Super Kings,M Chinnaswamy Stadiu,44.903848685030454,34,32.07014319126604
499,Chennai Super Kings,Royal Challengers Bangalore,M Chinnaswamy Stadiu,49.71397501982292,64,22.321914031526692
500,Mumbai Indians,Delhi Daredevils,Wankhede Stadium,41.94155395509241,65,35.47453237678091
501,Delhi Daredevils,Mumbai Indians,Wankhede Stadium,50.581389685035646,47,7.619978053267332
502,Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,44.7432600071735,45,0.5705333173922295
503,Royal Challengers Bangalore,Kolkata Knight Riders,Eden Gardens,45.43005592832406,36,26.194599800900164
504,Kings XI Punjab,Mumbai Indians,Punjab Cricket Assoc,34.472265509143554,48,28.182780189284262
505,Mumbai Indians,Kings XI Punjab,Punjab Cricket Assoc,50.00859022499011,62,19.34098350808047
506,Sunrisers Hyderabad,Royal Challengers Bangalore,Rajiv Gandhi Interna,50.9801176897289,25,103.9204707589156
507,Royal Challengers Bangalore,Sunrisers Hyderabad,Rajiv Gandhi Interna,48.66974514165453,51,4.569127173226411
508,Rajasthan Royals,Mumbai Indians,Sardar Patel Stadium,43.0856686388767,42,2.584925330658803
509,Mumbai Indians,Rajasthan Royals,Sardar Patel Stadium,43.016565040804394,47,8.475393530203416
